siteID,plot_dist_km,comdis
BART,3.796602567,0.852861035
BART,4.862892698,0.854688267
BART,1.301354366,0.81648159
BART,2.211123908,0.748049052
BART,1.587027063,0.449591281
BART,2.696707949,0.835763622
BART,2.742409105,0.598519889
BART,1.256385156,0.925925926
BART,2.125110499,0.849192101
BART,0.704291856,0.785714286
BART,0.67569914,0.786960514
BART,4.343634239,0.458963283
BART,5.332268951,0.802015412
BART,2.761722963,0.432132964
BART,3.210885598,0.547461369
BART,0.9165077,0.491803279
BART,2.908032289,0.766935484
BART,3.947388045,0.905831533
BART,1.323009797,0.627413127
BART,1.825911187,0.449180328
BART,1.439586006,0.495114007
BART,1.163245136,0.605224964
BART,2.667835874,0.880528432
BART,3.700333052,0.814720812
BART,1.086641733,0.708927232
BART,1.579235836,0.201646091
BART,1.676100855,0.476994758
BART,0.247059069,0.403837953
BART,1.07830912,0.838817999
BART,4.865933451,0.341628959
BART,5.940866822,0.835142742
BART,3.284032432,0.636363636
BART,3.819036077,0.736600306
BART,0.79347418,0.398021309
BART,1.993613379,0.662776413
BART,2.240629284,0.699642431
BART,3.247964301,0.849469082
BART,0.581126939,0.437413074
BART,1.682984196,0.867945408
BART,1.040030312,0.665316045
BART,0.690311248,0.684767278
BART,3.77750157,0.398316971
BART,2.347998017,0.465517241
BART,2.104763504,0.604523896
BART,4.322868965,0.415662651
BART,3.74440256,0.826839827
BART,0.282086395,0.390275953
BART,1.197519095,0.858511422
BART,1.539838486,0.238779174
BART,1.095980334,0.812415655
BART,4.263186189,0.368491322
BART,2.840160669,0.682031985
BART,2.595411539,0.757750541
BART,4.820496724,0.552654482
BART,0.500829247,0.604282316
BART,2.036330474,0.662973223
BART,1.835325466,0.892391304
BART,2.8268703,0.780298507
BART,0.387027269,0.765363128
BART,0.708569441,0.262222222
BART,2.527502978,0.530837004
BART,1.12051801,0.450081833
BART,0.87346287,0.214076246
BART,3.114052419,0.729357798
BART,1.258598866,0.621830986
BART,1.736588552,0.807537012
BART,3.239360379,0.493641618
BART,1.007552467,0.907448215
BART,1.644582647,0.91730038
BART,1.178718746,0.803331542
BART,0.503769519,0.583669807
BART,3.689140576,0.716703786
BART,2.323219035,0.395753568
BART,2.077300725,0.587628866
BART,4.314123058,0.788505747
BART,0.600490533,0.810951361
BART,0.768204526,0.819321149
BART,1.210657033,0.618450515
BART,2.424211647,0.859166329
BART,1.925824919,0.867599068
BART,2.614335782,0.814141414
BART,0.999361253,0.812320092
BART,0.687421933,0.85368171
BART,2.782108669,0.885902876
BART,1.547048143,0.878501273
BART,1.326231272,0.887562189
BART,3.468397304,0.915782266
BART,1.374184263,0.912877583
BART,1.734428347,0.854829704
BART,0.698122901,0.847321005
BART,1.003383412,0.892040977
BART,4.800176076,0.694964029
BART,1.147154058,0.367822626
BART,0.219672771,0.784190715
BART,2.611991289,0.222797927
BART,2.079130857,0.749854567
BART,5.289593798,0.457060519
BART,3.887826471,0.636055861
BART,3.641076587,0.684729064
BART,5.878372126,0.568441815
BART,1.580714464,0.601304821
BART,1.082807759,0.231316726
BART,2.769551385,0.759721416
BART,1.619567144,0.781598513
BART,2.61116522,0.783037475
BART,4.788350987,0.368196371
BART,1.194282213,0.967700258
BART,0.113089992,0.926247289
BART,2.612734867,0.761403509
BART,2.05598103,0.604774536
BART,5.266161922,0.935695538
BART,3.873867224,0.748141264
BART,3.6268437,0.667374381
BART,5.866616734,0.948364888
BART,1.59165282,0.966248038
BART,1.101051541,0.860971524
BART,2.753709917,0.740740741
BART,1.583676316,0.744461618
BART,2.564724612,0.922949917
BART,0.124986344,0.731656184
BART,0.846977318,0.513833992
BART,4.57916162,0.753828033
BART,5.579500712,0.792563601
BART,2.99448615,0.488372093
BART,3.456759623,0.609167672
BART,0.251832242,0.704898447
BART,1.671537896,0.48305821
BART,1.911687101,0.626359565
BART,0.593073019,0.772029103
BART,4.015830373,0.825055597
BART,4.503734907,0.578869048
BART,2.76962263,0.675090253
BART,3.937150109,0.598278336
BART,3.033693762,0.828164718
BART,5.534733046,0.523086654
BART,5.512550225,0.540145985
BART,0.956290266,0.582737925
BART,4.677632283,0.91427671
BART,5.668655095,0.813164894
BART,3.094177579,0.865461121
BART,3.54755494,0.728056176
BART,0.336699583,0.906637028
BART,1.77124156,0.637278263
BART,2.009796434,0.796576695
BART,0.604958776,0.917953912
BART,4.112681305,0.920920201
BART,4.599148937,0.909897127
BART,2.863806299,0.825948358
BART,4.025283365,0.399326977
BART,3.113162864,0.862289367
BART,5.626290953,0.80104712
BART,5.602744634,0.76168717
BART,0.109900308,0.695492487
BART,5.026386892,0.552927262
BART,1.485789951,0.947252747
BART,0.184551336,0.871666667
BART,2.869637717,0.671891327
BART,2.2853165,0.583396226
BART,5.486921194,0.900074571
BART,4.110224861,0.734890808
BART,3.863262482,0.56097561
BART,6.103802405,0.922466137
BART,1.861963882,0.944186047
BART,1.379691263,0.778437191
BART,2.990084544,0.658389767
BART,1.79783224,0.756541524
BART,2.752738405,0.867809058
BART,0.374982514,0.653846154
BART,0.293328606,0.294117647
BART,5.734979287,0.52316765
BART,5.822989164,0.752066116
BART,0.251940536,0.705741627
BART,3.815878445,0.904903418
BART,4.8366121,0.757832345
BART,2.230268383,0.601279318
BART,2.711510219,0.675344564
BART,0.543307683,0.881996974
BART,0.907861553,0.787692308
BART,1.150254781,0.61849711
BART,1.132234581,0.917059378
BART,3.254950131,0.928388747
BART,3.745320634,0.754032258
BART,2.015766086,0.719083969
BART,3.199751808,0.801035078
BART,2.336309651,0.831578947
BART,4.784941319,0.583401139
BART,4.766601184,0.581532417
BART,0.764852292,0.621575342
BART,0.866869658,0.786606129
BART,4.995549936,0.439520958
BART,2.082781903,0.513567839
BART,1.906432935,0.682692308
BART,2.80804073,0.894596398
BART,0.599774897,0.388535032
BART,0.690770921,0.592364532
BART,2.524263764,0.637804878
BART,1.171769508,0.565255732
BART,0.931162009,0.625899281
BART,3.152913645,0.742622951
BART,1.325424815,0.783033033
BART,1.775515979,0.465648855
BART,0.233060757,0.730958231
BART,1.166386565,0.704423918
BART,0.481194383,0.84687015
BART,2.768584165,0.41822883
BART,2.742337593,0.336826347
BART,2.771540067,0.31628533
BART,2.860718015,0.748058088
BART,2.963837298,0.316565481
BART,2.034014949,0.564373898
BART,0.349270214,0.46627566
BART,3.671636746,0.876744186
BART,4.679680177,0.828938907
BART,2.088631556,0.6875
BART,2.554888818,0.577380952
BART,0.673262314,0.829009434
BART,0.76633652,0.549053356
BART,1.003805511,0.603785489
BART,1.29691435,0.87099359
BART,3.107461246,0.894117647
BART,3.595592685,0.742313324
BART,1.862730066,0.648456057
BART,3.040973268,0.539990535
BART,2.17193481,0.760683761
BART,4.630463002,0.643169058
BART,4.610656235,0.524425287
BART,0.908388663,0.291828794
BART,1.006002233,0.667219092
BART,4.837654809,0.498759305
BART,0.164941593,0.596638655
BART,1.874729615,0.476127321
BART,2.380213941,0.941155867
BART,1.745999007,0.375247133
BART,2.547046311,0.947546531
BART,0.743869689,0.637906648
BART,0.489648553,0.954198473
BART,2.7942448,0.652694611
BART,1.475341906,0.828279604
BART,1.238253698,0.927318296
BART,3.444430788,0.262934947
BART,1.176509076,0.583451403
BART,1.579903563,0.564137931
BART,0.482950967,0.940633775
BART,0.904020437,0.926762491
BART,0.262586306,0.898498928
BART,2.522516627,0.568822554
BART,2.487640277,0.959109496
BART,3.043803664,0.805189281
BART,3.129443099,0.965499216
BART,2.69654513,0.926660059
BART,2.318846413,0.930965483
BART,0.312611665,0.740181269
BART,2.157184668,0.90054783
BART,0.377845257,0.903961585
BART,3.772012783,0.417910448
BART,4.769083769,0.921702128
BART,2.190936909,0.210300429
BART,2.645317008,0.964615385
BART,0.571676693,0.398176292
BART,0.870487737,0.740740741
BART,1.104760392,0.897095436
BART,1.231229489,0.632325142
BART,3.205951973,0.656410256
BART,3.692330734,0.223123732
BART,1.957481494,0.923312883
BART,3.128218447,0.913444893
BART,2.24505776,0.890615289
BART,4.722720342,0.355682747
BART,4.701283951,0.958498024
BART,0.812288095,0.638554217
BART,0.906886096,0.970420933
BART,4.925742183,0.927623643
BART,0.135041035,0.879012346
BART,1.961917487,0.539007092
BART,0.110308745,0.868243243
BART,2.239608078,0.622679378
BART,0.542824844,0.761061947
BART,4.261311031,0.654458599
BART,5.272090534,0.684692942
BART,2.675927,0.474056604
BART,3.147758761,0.8125
BART,0.145725398,0.637987013
BART,1.353300206,0.747311828
BART,1.594708221,0.732381802
BART,0.76250143,0.775590551
BART,3.699417284,0.804078014
BART,4.188682608,0.563192905
BART,2.456494506,0.714754098
BART,3.631807837,0.836264403
BART,2.74419612,0.74295082
BART,5.224062945,0.573309921
BART,5.203702124,0.846982759
BART,0.319790517,0.580705009
BART,0.424440841,0.891891892
BART,5.429189955,0.766442953
BART,0.445689533,0.669421488
BART,2.46544708,0.622605364
BART,0.593779117,0.66
BART,2.743162446,0.833420639
BART,0.50378024,0.583333333
BART,0.367776402,0.794520548
BART,4.133156537,0.941798942
BART,5.169034348,0.832817337
BART,2.546147402,0.628099174
BART,3.044066323,0.718464351
BART,0.330914335,0.89009009
BART,1.229577634,0.806674338
BART,1.475042114,0.677677678
BART,0.796715463,0.934031414
BART,3.57685864,0.936269916
BART,4.069721649,0.748717949
BART,2.34517893,0.681238616
BART,3.534159911,0.807465619
BART,2.6727738,0.878831076
BART,5.114697244,0.693215339
BART,5.097989765,0.672456576
BART,0.479201197,0.684100418
BART,0.588554609,0.85767174
BART,5.328924999,0.518459069
BART,0.336956661,0.473509934
BART,2.369090772,0.67462039
BART,0.500847661,0.668711656
BART,2.655361632,0.941801903
BART,0.436800872,0.866220736
BART,0.186614446,0.680933852
HARV,1.853881354,0.570178086
HARV,3.187206997,0.787536886
HARV,3.762636155,0.793788024
HARV,2.912592784,0.765768725
HARV,1.782886976,0.69176936
HARV,5.499639242,0.437756346
HARV,0.881884324,0.697160883
HARV,2.650141306,0.817343946
HARV,2.798411319,0.898655636
HARV,3.791734557,0.916311507
HARV,3.659805759,0.662344828
HARV,3.912655849,0.596107056
HARV,0.722052059,0.68831961
HARV,5.690429248,0.637472767
HARV,3.392565536,0.848832901
HARV,0.411638894,0.523055935
HARV,1.914367079,0.512771084
HARV,2.775588426,0.810851773
HARV,3.183392796,0.741805054
HARV,0.742823864,0.834246075
HARV,3.25342178,0.63738234
HARV,2.479483274,0.883724236
HARV,2.497920766,0.922074468
HARV,1.369152026,0.720906902
HARV,4.275134645,0.769596892
HARV,2.491308898,0.919463087
HARV,1.415323672,0.748723187
HARV,2.108497246,0.87195122
HARV,2.06953724,0.676635215
HARV,2.76673634,0.608489166
HARV,1.126906815,0.531678641
HARV,4.445457138,0.49689898
HARV,1.793965228,0.865965834
HARV,1.61576667,0.670921986
HARV,1.658460852,0.458674189
HARV,0.916643582,0.887762906
HARV,1.162468563,0.673676012
HARV,2.987908466,0.874755382
HARV,3.017982108,0.619035816
HARV,4.025762796,0.791329204
HARV,0.380907396,0.863182898
HARV,3.647707659,0.869543233
HARV,1.104100944,0.753222836
HARV,2.831456979,0.843519212
HARV,2.081483424,0.732040649
HARV,9.360537339,0.900985222
HARV,8.890469579,0.75489549
HARV,6.545726885,0.937937938
