domain,domain_name,siteID,site_name,state,biome_types,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,N,scale,scale1,div,sta,div_p,sta_p
D05,Great Lakes,STEI,Steigerwaldt Land Services,WI,"Deciduous Forest, Mixed Forest, Woody Wetlands",45.50894,-89.58637,481,4.4,798,11074,45,2015,2019,5,32,beta1,b,1.211006217,0.611033143,0.131482795,0.159486845
D05,Great Lakes,TREE,Treehaven,WI,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",45.49369,-89.58571,472,4.5,808,11084,44,2015,2019,5,29,beta1,b,1.081117443,0.461816064,-0.000488433,0.008987806
D05,Great Lakes,UNDE,UNDERC,MI,"Deciduous Forest, Mixed Forest, Woody Wetlands",46.23388,-89.53725,518,3.7,850,10892,37,2014,2019,6,27,beta1,b,1.162053593,0.580483832,0.080884107,0.116322309
D06,Prairie Peninsula,KONZ,Konza Prairie Biological Station,KS,"Deciduous Forest, Grassland/Herbaceous",39.10077,-96.56309,381,12.1,866,9980,51,2016,2019,4,32,beta1,b,1.076246824,0.289539115,-0.070275445,-0.136493187
D06,Prairie Peninsula,UKFS,The University of Kansas Field Station,KS,"Deciduous Forest, Pasture/Hay",39.04043,-95.19215,335,12.6,965,9696,46,2016,2019,4,33,beta1,b,1.115775793,0.468558733,-0.047674641,0.027445662
D07,Appalachians & Cumberland Plateau,GRSM,"Great Smoky Mountains National Park, Twin Creeks",TN,"Deciduous Forest, Evergreen Forest",35.68896,-83.50195,579,12.7,1340,7428,13,2015,2019,5,30,beta1,b,1.191107461,0.65651683,-0.022962184,0.149531925
D07,Appalachians & Cumberland Plateau,ORNL,Oak Ridge,TN,"Deciduous Forest, Evergreen Forest, Pasture/Hay",35.96412,-84.2826,334,13.9,1356,7916,15,2014,2020,7,20,beta1,b,1.283630576,0.747048697,0.058401128,0.243083963
D08,Ozarks Complex,DELA,Dead Lake,AL,"Evergreen Forest, Woody Wetlands",32.54172,-87.80389,22,17.5,1382,7107,21,2015,2020,6,29,beta1,b,1.296812801,0.340317581,0.04102945,-0.150693551
D08,Ozarks Complex,LENO,Lenoir Landing,AL,"Deciduous Forest, Woody Wetlands",31.85388,-88.16122,20,17.9,1493,6794,20,2016,2019,4,33,beta1,b,1.36798765,0.426029323,0.094433085,-0.082673706
D08,Ozarks Complex,TALL,Talladega National Forest,AL,"Deciduous Forest, Evergreen Forest, Mixed Forest",32.95046,-87.39327,135,17.1,1425,7154,18,2014,2019,6,22,beta1,b,1.405378628,0.509234345,0.14688797,0.008663492
D09,Northern Plains,DCFS,Dakota Coteau Field School,ND,Grassland/Herbaceous,47.16165,-99.10656,559,4.7,442,12078,68,2017,2020,4,33,beta1,b,1.111028141,0.589408972,0.076586638,0.202322799
D09,Northern Plains,NOGP,Northern Great Plains Research Laboratory,ND,Grassland/Herbaceous,46.76972,-100.91535,578,5.4,418,11524,65,2016,2020,5,31,beta1,b,1.235997449,0.582289986,0.199478642,0.202864199
D09,Northern Plains,WOOD,Woodworth,ND,"Emergent Herbaceous Wetlands, Grassland/Herbaceous",47.12823,-99.24136,579,4.6,431,12121,71,2014,2020,7,24,beta1,b,1.084638501,0.290422178,0.05241243,-0.095205076
D10,Central Plains,CPER,Central Plains Experimental Range,CO,Grassland/Herbaceous,40.81553,-104.7456,1648,8.6,362,8565,58,2013,2020,8,22,beta1,b,0.926410709,0.133190368,-0.126747132,-0.220721718
D10,Central Plains,RMNP,"Rocky Mountain National Park, CASTNET",CO,Evergreen Forest,40.27591,-105.54592,2743,0.4,641,7349,17,2017,2020,4,33,beta1,b,1.41824325,0.566680723,0.389704494,0.123411892
D10,Central Plains,STER,"North Sterling, CO",CO,Cultivated Crops,40.4619,-103.0293,1364,9.2,419,9230,72,2014,2020,7,6,beta1,b,0.740759577,0.172248264,-0.324494058,-0.188824706
D11,Southern Plains,CLBJ,LBJ National Grassland ,TX,"Deciduous Forest, Grassland/Herbaceous",33.40123,-97.57,259,17.6,874,8039,35,2016,2019,4,22,beta1,b,1.312727884,0.626033607,0.12374438,0.22540505
D11,Southern Plains,OAES,Klemme Range Research Station,OK,"Grassland/Herbaceous, Shrub/Scrub",35.41059,-99.05879,516,15.5,698,8992,47,2015,2019,5,29,beta1,b,1.108341224,0.141464467,-0.041431969,-0.238259523
D13,Southern Rockies & Colorado Plateau,MOAB,Moab,UT,"Evergreen Forest, Shrub/Scrub",38.24833,-109.38827,1767,9.8,312,8964,23,2015,2019,5,10,beta1,b,0.955549071,0.206168886,-0.099992063,-0.133043764
D13,Southern Rockies & Colorado Plateau,NIWO,Niwot Ridge Mountain Research Station,CO,"Evergreen Forest, Grassland/Herbaceous",40.05425,-105.58237,3513,-0.5,705,7330,16,2015,2020,6,31,beta1,b,1.120577116,0.438533931,0.090301928,-0.020448879
D14,Desert Southwest,JORN,Jornada LTER,NM,Shrub/Scrub,32.59068,-106.84254,1329,14.9,256,7634,73,2015,2019,5,19,beta1,b,1.205044953,0.171037949,0.11856386,-0.133396111
D14,Desert Southwest,SRER,Santa Rita Experimental Range,AZ,Shrub/Scrub,31.91068,-110.83549,983,19,346,6840,77,2016,2019,4,33,beta1,b,1.206148594,0.169365101,0.076839641,-0.131002576
D15,Great Basin,ONAQ,Onaqui,UT,"Evergreen Forest, Shrub/Scrub",40.17759,-112.45244,1685,9.3,349,8930,20,2016,2019,4,30,beta1,b,0.850573801,0.236357391,-0.206124096,-0.111840854
D16,Pacific Northwest,ABBY,Abby Road,WA,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,beta1,b,1.258095115,0.482227705,-0.084557135,-0.261394342
D19,Taiga,DEJU,Delta Junction,AK,"Evergreen Forest, Shrub/Scrub, Woody Wetlands",63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,beta1,b,0.931137645,0.345305981,-0.025712002,-0.05468688
D19,Taiga,HEAL,Healy,AK,"Dwarf Scrub, Evergreen Forest, Shrub/Scrub",63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,beta1,b,0.669084395,0.495488697,-0.289506835,0.070839512
D01,Northeast,BART,Bartlett Experimental Forest,NH,"Deciduous Forest, Evergreen Forest, Mixed Forest",44.06388,-71.28731,232,4.8,1300,9658,10,2014,2020,7,26,gamma,a,2.192328607,0.932599323,-0.95443115,-0.358417499
D01,Northeast,HARV,Harvard Forest,MA,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",42.5369,-72.17266,351,7.2,1120,9364,8,2014,2020,7,30,gamma,a,3.126551659,0.991703555,0.005263238,-0.21646435
D02,Mid-Atlantic,BLAN,Blandy Experimental Farm,VA,"Deciduous Forest, Pasture/Hay",39.06026,-78.07164,183,11.7,966,8544,15,2015,2020,6,13,gamma,a,3.17175094,1.474706159,0.062511659,0.375953985
D02,Mid-Atlantic,SCBI,Smithsonian Conservation Biology Institute,VA,"Deciduous Forest, Evergreen Forest, Pasture/Hay",38.89292,-78.1395,361,11.2,1020,8428,15,2014,2020,7,27,gamma,a,3.468082771,1.410480225,0.350326015,0.290338275
D02,Mid-Atlantic,SERC,Smithsonian Environmental Research Center,MD,"Cultivated Crops, Deciduous Forest",38.89008,-76.56001,15,13.1,1072,8441,13,2015,2019,5,31,gamma,a,3.342291712,1.255430247,0.206849517,0.152197977
D03,Southeast,DSNY,Disney Wilderness Preserve,FL,"Pasture/Hay, Woody Wetlands",28.12504,-81.4362,15,22.4,1208,4299,51,2014,2019,6,15,gamma,a,3.397486802,1.474813415,0.19854459,0.484014095
D03,Southeast,JERC,Jones Ecological Research Center,GA,"Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest",31.19484,-84.46861,44,19.3,1326,6292,23,2015,2019,5,31,gamma,a,3.94751469,1.223497686,0.737954023,0.154341997
D03,Southeast,OSBS,Ordway-Swisher Biological Station,FL,"Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands",29.68927,-81.99343,45,20.3,1313,5295,41,2014,2019,6,17,gamma,a,3.05981113,1.157637607,-0.151201854,0.107485073
D04,Atlantic Neotropical,GUAN,Guanica Forest,PR,Evergreen Forest,17.96955,-66.8687,143,25.9,916,1154,55,2015,2019,5,19,gamma,a,2.897364793,0.761002294,-0.258690937,-0.101592492
D04,Atlantic Neotropical,LAJA,Lajas Experimental Station,PR,"Cultivated Crops, Grassland/Herbaceous, Pasture/Hay",18.02125,-67.0769,24,25.1,1474,1180,45,2016,2019,4,30,gamma,a,2.162364712,1.149844701,-1.099093666,0.134995231
D05,Great Lakes,STEI,Steigerwaldt Land Services,WI,"Deciduous Forest, Mixed Forest, Woody Wetlands",45.50894,-89.58637,481,4.4,798,11074,45,2015,2019,5,32,gamma,a,3.336658861,1.294433138,0.289182579,0.12275599
D05,Great Lakes,TREE,Treehaven,WI,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",45.49369,-89.58571,472,4.5,808,11084,44,2015,2019,5,29,gamma,a,3.384273366,1.175281371,0.33445284,0.002676398
D05,Great Lakes,UNDE,UNDERC,MI,"Deciduous Forest, Mixed Forest, Woody Wetlands",46.23388,-89.53725,518,3.7,850,10892,37,2014,2019,6,27,gamma,a,3.192861351,1.219609209,0.138053231,0.023892932
D06,Prairie Peninsula,KONZ,Konza Prairie Biological Station,KS,"Deciduous Forest, Grassland/Herbaceous",39.10077,-96.56309,381,12.1,866,9980,51,2016,2019,4,32,gamma,a,3.611762151,1.033162751,0.52039029,-0.03426182
D06,Prairie Peninsula,UKFS,The University of Kansas Field Station,KS,"Deciduous Forest, Pasture/Hay",39.04043,-95.19215,335,12.6,965,9696,46,2016,2019,4,33,gamma,a,3.535896022,1.095729363,0.423267405,0.011402054
D07,Appalachians & Cumberland Plateau,GRSM,"Great Smoky Mountains National Park, Twin Creeks",TN,"Deciduous Forest, Evergreen Forest",35.68896,-83.50195,579,12.7,1340,7428,13,2015,2019,5,30,gamma,a,3.068362965,1.25833712,-0.117639923,0.081730565
D07,Appalachians & Cumberland Plateau,ORNL,Oak Ridge,TN,"Deciduous Forest, Evergreen Forest, Pasture/Hay",35.96412,-84.2826,334,13.9,1356,7916,15,2014,2020,7,20,gamma,a,3.373189757,1.359704112,0.179294639,0.197992561
D08,Ozarks Complex,DELA,Dead Lake,AL,"Evergreen Forest, Woody Wetlands",32.54172,-87.80389,22,17.5,1382,7107,21,2015,2020,6,29,gamma,a,3.327472478,0.842529718,0.114181931,-0.268990707
D08,Ozarks Complex,LENO,Lenoir Landing,AL,"Deciduous Forest, Woody Wetlands",31.85388,-88.16122,20,17.9,1493,6794,20,2016,2019,4,33,gamma,a,3.173624845,0.94951243,-0.062859476,-0.183489021
D08,Ozarks Complex,TALL,Talladega National Forest,AL,"Deciduous Forest, Evergreen Forest, Mixed Forest",32.95046,-87.39327,135,17.1,1425,7154,18,2014,2019,6,22,gamma,a,3.382591008,1.071082159,0.162525402,-0.057500031
D09,Northern Plains,DCFS,Dakota Coteau Field School,ND,Grassland/Herbaceous,47.16165,-99.10656,559,4.7,442,12078,68,2017,2020,4,33,gamma,a,3.549269015,1.685294616,0.569876689,0.607441252
D09,Northern Plains,NOGP,Northern Great Plains Research Laboratory,ND,Grassland/Herbaceous,46.76972,-100.91535,578,5.4,418,11524,65,2016,2020,5,31,gamma,a,3.08574988,1.550339026,0.108240514,0.48951701
D09,Northern Plains,WOOD,Woodworth,ND,"Emergent Herbaceous Wetlands, Grassland/Herbaceous",47.12823,-99.24136,579,4.6,431,12121,71,2014,2020,7,24,gamma,a,2.841581594,0.968747816,-0.135271885,-0.107927446
D10,Central Plains,CPER,Central Plains Experimental Range,CO,Grassland/Herbaceous,40.81553,-104.7456,1648,8.6,362,8565,58,2013,2020,8,22,gamma,a,3.116792761,0.733473875,0.137438259,-0.262934047
D10,Central Plains,RMNP,"Rocky Mountain National Park, CASTNET",CO,Evergreen Forest,40.27591,-105.54592,2743,0.4,641,7349,17,2017,2020,4,33,gamma,a,2.76974377,1.22079759,-0.231251253,0.025415899
D10,Central Plains,STER,"North Sterling, CO",CO,Cultivated Crops,40.4619,-103.0293,1364,9.2,419,9230,72,2014,2020,7,6,gamma,a,2.360404664,0.569095726,-0.632431491,-0.432128309
D11,Southern Plains,CLBJ,LBJ National Grassland ,TX,"Deciduous Forest, Grassland/Herbaceous",33.40123,-97.57,259,17.6,874,8039,35,2016,2019,4,22,gamma,a,3.589184676,1.220214818,0.474354144,0.237410505
D11,Southern Plains,OAES,Klemme Range Research Station,OK,"Grassland/Herbaceous, Shrub/Scrub",35.41059,-99.05879,516,15.5,698,8992,47,2015,2019,5,29,gamma,a,3.374640964,0.828123288,0.302423052,-0.143706158
D13,Southern Rockies & Colorado Plateau,MOAB,Moab,UT,"Evergreen Forest, Shrub/Scrub",38.24833,-109.38827,1767,9.8,312,8964,23,2015,2019,5,10,gamma,a,2.59076704,0.71840046,-0.383635906,-0.246594118
D13,Southern Rockies & Colorado Plateau,NIWO,Niwot Ridge Mountain Research Station,CO,"Evergreen Forest, Grassland/Herbaceous",40.05425,-105.58237,3513,-0.5,705,7330,16,2015,2020,6,31,gamma,a,2.996269763,1.42868424,-0.013595901,0.203110178
D14,Desert Southwest,JORN,Jornada LTER,NM,Shrub/Scrub,32.59068,-106.84254,1329,14.9,256,7634,73,2015,2019,5,19,gamma,a,2.546150275,0.583335295,-0.4376639,-0.287321058
D14,Desert Southwest,SRER,Santa Rita Experimental Range,AZ,Shrub/Scrub,31.91068,-110.83549,983,19,346,6840,77,2016,2019,4,33,gamma,a,3.002527317,0.464225946,-0.015127944,-0.364382294
D15,Great Basin,ONAQ,Onaqui,UT,"Evergreen Forest, Shrub/Scrub",40.17759,-112.45244,1685,9.3,349,8930,20,2016,2019,4,30,gamma,a,2.578953406,0.763676865,-0.400658767,-0.218452765
D16,Pacific Northwest,ABBY,Abby Road,WA,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,gamma,a,3.230325182,1.170191752,-0.174793252,-0.380050676
D19,Taiga,DEJU,Delta Junction,AK,"Evergreen Forest, Shrub/Scrub, Woody Wetlands",63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,gamma,a,2.875476425,0.962235045,-0.045221498,-0.202925289
D19,Taiga,HEAL,Healy,AK,"Dwarf Scrub, Evergreen Forest, Shrub/Scrub",63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,gamma,a,2.732234554,1.37777798,-0.201561214,0.164466102
D01,Northeast,BART,Bartlett Experimental Forest,NH,"Deciduous Forest, Evergreen Forest, Mixed Forest",44.06388,-71.28731,232,4.8,1300,9658,10,2014,2020,7,26,beta2,b,1.588608992,0.672327833,-0.178412005,0.165593723
D01,Northeast,HARV,Harvard Forest,MA,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",42.5369,-72.17266,351,7.2,1120,9364,8,2014,2020,7,30,beta2,b,1.861935402,0.26092461,0.11982621,-0.211320265
D02,Mid-Atlantic,BLAN,Blandy Experimental Farm,VA,"Deciduous Forest, Pasture/Hay",39.06026,-78.07164,183,11.7,966,8544,15,2015,2020,6,13,beta2,b,1.773456549,0.37133526,0.04842656,-0.07559014
D02,Mid-Atlantic,SCBI,Smithsonian Conservation Biology Institute,VA,"Deciduous Forest, Evergreen Forest, Pasture/Hay",38.89292,-78.1395,361,11.2,1020,8428,15,2014,2020,7,27,beta2,b,1.587252702,0.614057052,-0.145631563,0.156408306
D02,Mid-Atlantic,SERC,Smithsonian Environmental Research Center,MD,"Cultivated Crops, Deciduous Forest",38.89008,-76.56001,15,13.1,1072,8441,13,2015,2019,5,31,beta2,b,1.729125055,0.766979721,-0.015444006,0.294928387
D03,Southeast,DSNY,Disney Wilderness Preserve,FL,"Pasture/Hay, Woody Wetlands",28.12504,-81.4362,15,22.4,1208,4299,51,2014,2019,6,15,beta2,b,1.660879895,0.925594668,-0.121744283,0.40846201
D03,Southeast,JERC,Jones Ecological Research Center,GA,"Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest",31.19484,-84.46861,44,19.3,1326,6292,23,2015,2019,5,31,beta2,b,1.924603099,0.666993455,0.128289916,0.129864397
