domain,domain_name,siteID,site_name,state,biome_types,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,N,scale,scale1,div,sta,div_p,sta_p
D16,Pacific Northwest,ABBY,Abby Road,WA,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,beta2,b,1.627547358,0.412178612,-0.348341794,-0.36987011
D19,Taiga,DEJU,Delta Junction,AK,"Evergreen Forest, Shrub/Scrub, Woody Wetlands",63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,beta2,b,1.699234554,0.131509301,0.107359127,-0.147272666
D19,Taiga,HEAL,Healy,AK,"Dwarf Scrub, Evergreen Forest, Shrub/Scrub",63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,beta2,b,1.571830539,0.275068699,-0.033273397,-0.02215981
D01,Northeast,BART,Bartlett Experimental Forest,NH,"Deciduous Forest, Evergreen Forest, Mixed Forest",44.06388,-71.28731,232,4.8,1300,9658,10,2014,2020,7,26,tau,a,3.780937599,1.604927155,-1.132843155,-0.192823776
D01,Northeast,HARV,Harvard Forest,MA,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",42.5369,-72.17266,351,7.2,1120,9364,8,2014,2020,7,30,tau,a,4.988487061,1.252628165,0.125089449,-0.427784615
D02,Mid-Atlantic,BLAN,Blandy Experimental Farm,VA,"Deciduous Forest, Pasture/Hay",39.06026,-78.07164,183,11.7,966,8544,15,2015,2020,6,13,tau,a,4.945207489,1.846041419,0.110938219,0.300363845
D02,Mid-Atlantic,SCBI,Smithsonian Conservation Biology Institute,VA,"Deciduous Forest, Evergreen Forest, Pasture/Hay",38.89292,-78.1395,361,11.2,1020,8428,15,2014,2020,7,27,tau,a,5.055335473,2.024537277,0.204694452,0.446746581
D02,Mid-Atlantic,SERC,Smithsonian Environmental Research Center,MD,"Cultivated Crops, Deciduous Forest",38.89008,-76.56001,15,13.1,1072,8441,13,2015,2019,5,31,tau,a,5.071416766,2.022409968,0.19140551,0.447126364
D03,Southeast,DSNY,Disney Wilderness Preserve,FL,"Pasture/Hay, Woody Wetlands",28.12504,-81.4362,15,22.4,1208,4299,51,2014,2019,6,15,tau,a,5.058366697,2.400408083,0.076800307,0.892476105
D03,Southeast,JERC,Jones Ecological Research Center,GA,"Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest",31.19484,-84.46861,44,19.3,1326,6292,23,2015,2019,5,31,tau,a,5.872117789,1.890491142,0.866243939,0.284206395
D03,Southeast,OSBS,Ordway-Swisher Biological Station,FL,"Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands",29.68927,-81.99343,45,20.3,1313,5295,41,2014,2019,6,17,tau,a,4.994957481,1.520395892,-0.012000139,-0.065809824
D04,Atlantic Neotropical,GUAN,Guanica Forest,PR,Evergreen Forest,17.96955,-66.8687,143,25.9,916,1154,55,2015,2019,5,19,tau,a,4.619073091,1.324379437,-0.278513626,0.001274469
D04,Atlantic Neotropical,LAJA,Lajas Experimental Station,PR,"Cultivated Crops, Grassland/Herbaceous, Pasture/Hay",18.02125,-67.0769,24,25.1,1474,1180,45,2016,2019,4,30,tau,a,4.505349851,1.990105377,-0.586357371,0.396463351
D05,Great Lakes,STEI,Steigerwaldt Land Services,WI,"Deciduous Forest, Mixed Forest, Woody Wetlands",45.50894,-89.58637,481,4.4,798,11074,45,2015,2019,5,32,tau,a,5.249127122,2.230648819,0.516381904,0.660565925
D05,Great Lakes,TREE,Treehaven,WI,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",45.49369,-89.58571,472,4.5,808,11084,44,2015,2019,5,29,tau,a,5.152134856,1.856445622,0.415257596,0.283119437
D05,Great Lakes,UNDE,UNDERC,MI,"Deciduous Forest, Mixed Forest, Woody Wetlands",46.23388,-89.53725,518,3.7,850,10892,37,2014,2019,6,27,tau,a,5.065754593,2.129779227,0.318492331,0.52570506
D06,Prairie Peninsula,KONZ,Konza Prairie Biological Station,KS,"Deciduous Forest, Grassland/Herbaceous",39.10077,-96.56309,381,12.1,866,9980,51,2016,2019,4,32,tau,a,5.307029307,1.177069458,0.506082586,-0.316522232
D06,Prairie Peninsula,UKFS,The University of Kansas Field Station,KS,"Deciduous Forest, Pasture/Hay",39.04043,-95.19215,335,12.6,965,9696,46,2016,2019,4,33,tau,a,5.400422589,1.547865253,0.561367907,0.015286436
D07,Appalachians & Cumberland Plateau,GRSM,"Great Smoky Mountains National Park, Twin Creeks",TN,"Deciduous Forest, Evergreen Forest",35.68896,-83.50195,579,12.7,1340,7428,13,2015,2019,5,30,tau,a,5.086361005,1.857878163,0.113206339,0.152437813
D07,Appalachians & Cumberland Plateau,ORNL,Oak Ridge,TN,"Deciduous Forest, Evergreen Forest, Pasture/Hay",35.96412,-84.2826,334,13.9,1356,7916,15,2014,2020,7,20,tau,a,4.937552437,1.884717852,-0.048154773,0.188687581
D08,Ozarks Complex,DELA,Dead Lake,AL,"Evergreen Forest, Woody Wetlands",32.54172,-87.80389,22,17.5,1382,7107,21,2015,2020,6,29,tau,a,4.972125439,1.024645342,-0.043405719,-0.632931125
D08,Ozarks Complex,LENO,Lenoir Landing,AL,"Deciduous Forest, Woody Wetlands",31.85388,-88.16122,20,17.9,1493,6794,20,2016,2019,4,33,tau,a,4.966335035,1.405922989,-0.091005727,-0.297620878
D08,Ozarks Complex,TALL,Talladega National Forest,AL,"Deciduous Forest, Evergreen Forest, Mixed Forest",32.95046,-87.39327,135,17.1,1425,7154,18,2014,2019,6,22,tau,a,5.137757302,1.51819956,0.109199959,-0.164974463
D09,Northern Plains,DCFS,Dakota Coteau Field School,ND,Grassland/Herbaceous,47.16165,-99.10656,559,4.7,442,12078,68,2017,2020,4,33,tau,a,5.003946306,1.912040973,0.396250512,0.511605303
D09,Northern Plains,NOGP,Northern Great Plains Research Laboratory,ND,Grassland/Herbaceous,46.76972,-100.91535,578,5.4,418,11524,65,2016,2020,5,31,tau,a,4.80729437,1.894059205,0.204145477,0.514602999
D09,Northern Plains,WOOD,Woodworth,ND,"Emergent Herbaceous Wetlands, Grassland/Herbaceous",47.12823,-99.24136,579,4.6,431,12121,71,2014,2020,7,24,tau,a,4.619354821,1.245720492,0.016147145,-0.151007178
D10,Central Plains,CPER,Central Plains Experimental Range,CO,Grassland/Herbaceous,40.81553,-104.7456,1648,8.6,362,8565,58,2013,2020,8,22,tau,a,4.414312298,0.811121617,-0.187177159,-0.497389903
D10,Central Plains,RMNP,"Rocky Mountain National Park, CASTNET",CO,Evergreen Forest,40.27591,-105.54592,2743,0.4,641,7349,17,2017,2020,4,33,tau,a,4.8978398,1.561644782,0.243849665,0.008369635
D10,Central Plains,STER,"North Sterling, CO",CO,Cultivated Crops,40.4619,-103.0293,1364,9.2,419,9230,72,2014,2020,7,6,tau,a,3.166077639,0.712840307,-1.459135841,-0.613736841
D11,Southern Plains,CLBJ,LBJ National Grassland ,TX,"Deciduous Forest, Grassland/Herbaceous",33.40123,-97.57,259,17.6,874,8039,35,2016,2019,4,22,tau,a,5.457455588,1.789255023,0.622240043,0.369153755
D11,Southern Plains,OAES,Klemme Range Research Station,OK,"Grassland/Herbaceous, Shrub/Scrub",35.41059,-99.05879,516,15.5,698,8992,47,2015,2019,5,29,tau,a,4.828313737,0.971549115,0.067764473,-0.39624308
D13,Southern Rockies & Colorado Plateau,MOAB,Moab,UT,"Evergreen Forest, Shrub/Scrub",38.24833,-109.38827,1767,9.8,312,8964,23,2015,2019,5,10,tau,a,3.841600541,0.883533652,-0.748940407,-0.384897092
D13,Southern Rockies & Colorado Plateau,NIWO,Niwot Ridge Mountain Research Station,CO,"Evergreen Forest, Grassland/Herbaceous",40.05425,-105.58237,3513,-0.5,705,7330,16,2015,2020,6,31,tau,a,4.817589774,1.779908952,0.145952229,0.184258475
D14,Desert Southwest,JORN,Jornada LTER,NM,Shrub/Scrub,32.59068,-106.84254,1329,14.9,256,7634,73,2015,2019,5,19,tau,a,4.032469159,0.712778946,-0.567266608,-0.458035229
D14,Desert Southwest,SRER,Santa Rita Experimental Range,AZ,Shrub/Scrub,31.91068,-110.83549,983,19,346,6840,77,2016,2019,4,33,tau,a,4.88846766,0.645090629,0.233262663,-0.509992106
D15,Great Basin,ONAQ,Onaqui,UT,"Evergreen Forest, Shrub/Scrub",40.17759,-112.45244,1685,9.3,349,8930,20,2016,2019,4,30,tau,a,4.406719247,1.177775101,-0.194140151,-0.114868738
D16,Pacific Northwest,ABBY,Abby Road,WA,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,tau,a,4.85787254,1.582370364,-0.523135046,-0.749920786
D19,Taiga,DEJU,Delta Junction,AK,"Evergreen Forest, Shrub/Scrub, Woody Wetlands",63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,tau,a,4.574710979,1.093744346,0.062137629,-0.350197955
D19,Taiga,HEAL,Healy,AK,"Dwarf Scrub, Evergreen Forest, Shrub/Scrub",63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,tau,a,4.304065093,1.652846679,-0.23483461,0.142306292
